DEL NZD USD 7747111 12873589
INS NZD USD 14222327 0.64297 0.64309
INS NZD USD 14221457 0.6425 0.64264
INS NZD USD 14221118 0.64248 0.64258
INS EUR USD 5100857 1.12943 1.12947
INS EUR USD 5100756 1.12984 1.12987
INS EUR USD 5101016 1.12879 1.12883
UPD NZD USD 14220187 0.6126721 0.6125673
INS NZD USD 14222345 0.64287 0.643
INS EUR USD 5100732 1.12977 1.12982
INS NZD USD 14221157 0.64252 0.64266
INS EUR USD 5100440 1.12915 1.12919
INS NZD USD 14221538 0.64217 0.64231
INS EUR USD 5100345 1.12848 1.12851
INS NZD USD 14221011 0.64222 0.64235
INS NZD USD 14220832 0.64224 0.64239
INS NZD USD 14222054 0.64279 0.64292
INS NZD USD 14222603 0.64258 0.6427
INS NZD USD 14221051 0.64253 0.64265
INS NZD USD 14221139 0.6424 0.64255
INS EUR USD 5101148 1.1286 1.12865
INS NZD USD 14222833 0.64258 0.64273
INS NZD USD 14222225 0.64318 0.64333
INS EUR USD 5100353 1.12858 1.1286
INS NZD USD 14222250 0.64306 0.64314
INS EUR USD 5100854 1.12969 1.12971
INS NZD USD 14222232 0.64313 0.64324
INS NZD USD 14220651 0.64181 0.64191
INS EUR USD 5100434 1.1293 1.12935
INS EUR USD 5100920 1.12933 1.12937
INS NZD USD 14221233 0.6425 0.6426
INS NZD USD 14222134 0.64283 0.64298
INS NZD USD 14221821 0.64289 0.643
INS EUR USD 5100823 1.12942 1.12946
INS NZD USD 14221106 0.64254 0.64264
INS NZD USD 14220738 0.642 0.64213
INS NZD USD 14220553 0.6418 0.64193
INS NZD USD 14221728 0.64281 0.64296
INS NZD USD 14221454 0.64245 0.64259
INS NZD USD 14221716 0.64279 0.64291
INS EUR USD 5100714 1.12963 1.12966
INS NZD USD 14221749 0.64279 0.64295
INS NZD USD 14220623 0.6418 0.64193
INS NZD USD 14222027 0.6428 0.64294
INS EUR USD 5101241 1.12858 1.12863
INS NZD USD 14222106 0.64288 0.643
INS EUR USD 5101209 1.12858 1.12863
INS EUR USD 5100420 1.12888 1.12894
INS EUR USD 5100425 1.12907 1.1291
INS NZD USD 14221109 0.64254 0.64264
INS NZD USD 14221101 0.64254 0.64265
INS NZD USD 14222019 0.6428 0.64293
INS NZD USD 14222233 0.64311 0.64325
INS NZD USD 14221119 0.64244 0.64257
INS NZD USD 14222738 0.64253 0.64265
INS EUR USD 5100624 1.12927 1.12929
INS NZD USD 14222604 0.64257 0.64269
INS NZD USD 14221603 0.64241 0.64255
INS EUR USD 5101142 1.12861 1.12865
INS EUR USD 5100557 1.12903 1.12906
INS NZD USD 14222541 0.64264 0.64273
INS EUR USD 5100715 1.12966 1.12968
INS NZD USD 14221705 0.64279 0.64294
INS NZD USD 14221214 0.64246 0.64257
INS EUR USD 5100702 1.12951 1.12955
INS NZD USD 14222550 0.64261 0.6427
INS EUR USD 5101045 1.12882 1.12885
INS NZD USD 14222216 0.64316 0.6433
INS EUR USD 5100923 1.12921 1.12925
INS NZD USD 14221606 0.64239 0.64252
INS NZD USD 14221027 0.64225 0.64236
INS EUR USD 5101235 1.12855 1.12858
INS NZD USD 14221404 0.64251 0.64265
INS NZD USD 14221047 0.64245 0.64259
INS NZD USD 14221349 0.64256 0.64267
INS NZD USD 14221435 0.6425 0.64264
INS NZD USD 14222819 0.64258 0.6427
UPD NZD USD 13895543 0.6660854 0.6659505
DEL NZD USD 9087231 7533649
INS NZD USD 14221203 0.64252 0.64266
INS NZD USD 14221143 0.64244 0.64258
INS NZD USD 14221458 0.64251 0.64264
INS NZD USD 14222148 0.6429 0.64303
INS NZD USD 14221107 0.64253 0.64264
INS NZD USD 14220601 0.64181 0.64193
INS NZD USD 14221547 0.64228 0.64242
INS EUR USD 5101002 1.12887 1.12892
INS EUR USD 5101036 1.12875 1.12879
INS NZD USD 14221213 0.64249 0.64263
INS NZD USD 14222226 0.64316 0.64331
INS EUR USD 5101133 1.12865 1.12869
INS EUR USD 5100733 1.12975 1.1298
INS EUR USD 5100858 1.12942 1.12947
INS NZD USD 14221909 0.64274 0.64287
INS NZD USD 14220825 0.64226 0.64239
INS NZD USD 14221224 0.64252 0.64266
INS NZD USD 14221934 0.64278 0.64291
INS EUR USD 5100843 1.12955 1.12961
INS EUR USD 5100348 1.12836 1.12837
INS EUR USD 5100757 1.12983 1.12986
INS NZD USD 14221221 0.64252 0.64265
INS EUR USD 5101120 1.12873 1.12877
INS EUR USD 5101143 1.12863 1.12866
INS EUR USD 5100422 1.12892 1.12895
INS EUR USD 5100817 1.12948 1.1295
INS EUR USD 5101240 1.12855 1.1286
INS NZD USD 14222439 0.6426 0.64272
INS NZD USD 14222527 0.64264 0.64276
INS EUR USD 5101228 1.12853 1.12855
INS EUR USD 5101048 1.12877 1.1288
INS NZD USD 14221608 0.6424 0.64254
INS NZD USD 14222651 0.64265 0.64277
INS EUR USD 5100508 1.12888 1.12892
INS EUR USD 5100500 1.1291 1.12911
INS NZD USD 14221410 0.64253 0.64264
INS EUR USD 5100845 1.12958 1.12963
INS EUR USD 5101035 1.12878 1.12881
INS EUR USD 5101024 1.12874 1.12875
INS EUR USD 5100431 1.12927 1.1293
INS EUR USD 5100458 1.12915 1.12919
INS NZD USD 14221215 0.64252 0.64264
INS NZD USD 14221019 0.64225 0.64237
INS NZD USD 14222720 0.64251 0.64264
INS NZD USD 14221555 0.6423 0.64245
INS EUR USD 5100631 1.12931 1.12934
INS EUR USD 5100805 1.12977 1.12979
INS NZD USD 14221900 0.6428 0.64295
INS EUR USD 5100507 1.12892 1.12893
INS NZD USD 14221912 0.6427 0.64283
INS EUR USD 5100746 1.1297 1.12975
INS EUR USD 5100915 1.12929 1.12934
INS EUR USD 5100540 1.12909 1.1291
UPD EUR USD 4877008 1.099812 1.099802
INS EUR USD 5101140 1.12855 1.12859
INS NZD USD 14222401 0.64278 0.64291
INS EUR USD 5100523 1.12903 1.12909
INS EUR USD 5100827 1.12954 1.12959
INS EUR USD 5100655 1.12956 1.12958
INS EUR USD 5100832 1.12958 1.12962
INS NZD USD 14222316 0.6431 0.64324
INS NZD USD 14222029 0.64279 0.64294
INS NZD USD 14221857 0.64288 0.643
INS NZD USD 14220913 0.64213 0.64226
INS NZD USD 14221308 0.64253 0.64266
INS EUR USD 5100951 1.12892 1.12894
INS EUR USD 5100613 1.12921 1.12922
INS NZD USD 14221405 0.64251 0.64265
INS NZD USD 14222835 0.6426 0.64272
INS EUR USD 5101046 1.12881 1.12883
INS NZD USD 14221322 0.64252 0.64265
INS EUR USD 5101038 1.12877 1.12879
INS NZD USD 14220721 0.64192 0.64203
INS EUR USD 5100718 1.12964 1.12966
INS NZD USD 14222725 0.64253 0.64264
INS NZD USD 14221417 0.64253 0.64266
INS NZD USD 14221240 0.64242 0.64254
INS EUR USD 5100633 1.12931 1.12933
INS EUR USD 5100514 1.12892 1.12893
INS EUR USD 5101105 1.1286 1.12863
INS NZD USD 14221306 0.64251 0.64266
UPD NZD USD 13449751 0.6315647 0.6314272
INS EUR USD 5101031 1.12877 1.1288
INS NZD USD 14221917 0.64273 0.64286
INS NZD USD 14221854 0.64283 0.64295
INS EUR USD 5100426 1.12913 1.12915
INS EUR USD 5100427 1.12911 1.12915
INS NZD USD 14222152 0.64305 0.64319
INS EUR USD 5101226 1.12851 1.12856
INS NZD USD 14222325 0.64299 0.64309
INS EUR USD 5100452 1.12913 1.12916
INS NZD USD 14221230 0.64254 0.64266
INS EUR USD 5100450 1.1292 1.12921
INS NZD USD 14221945 0.64279 0.64293
INS NZD USD 14221522 0.64216 0.64232
INS NZD USD 14222529 0.64264 0.64276
INS NZD USD 14222313 0.6431 0.64322
INS EUR USD 5101041 1.12878 1.12881
INS NZD USD 14221742 0.64279 0.64295
INS NZD USD 14221613 0.64245 0.64261
INS EUR USD 5100558 1.12908 1.1291
INS EUR USD 5100928 1.12907 1.12912
INS NZD USD 14221034 0.64236 0.64244
INS NZD USD 14222430 0.64277 0.64289
INS NZD USD 14220838 0.64218 0.64232
INS EUR USD 5100743 1.12981 1.12984
INS NZD USD 14220749 0.64203 0.64212
INS EUR USD 5101030 1.12878 1.12883
INS NZD USD 14221447 0.64245 0.64258
INS NZD USD 14221910 0.64272 0.64285
INS NZD USD 14221807 0.64287 0.64299
INS EUR USD 5100555 1.12903 1.12906
INS NZD USD 14222433 0.64266 0.64276
INS EUR USD 5100351 1.12858 1.12861
INS NZD USD 14221915 0.64271 0.64284
INS EUR USD 5100554 1.12904 1.12908
INS NZD USD 14221925 0.64267 0.64283
INS NZD USD 14222040 0.64282 0.64295
INS NZD USD 14221718 0.64279 0.64293
INS EUR USD 5100517 1.12905 1.12909
INS EUR USD 5101157 1.12857 1.12859
INS EUR USD 5100515 1.12896 1.129
INS EUR USD 5100859 1.12945 1.12948
INS EUR USD 5100717 1.12963 1.12966
INS EUR USD 5100510 1.12883 1.12886
INS NZD USD 14220629 0.64181 0.64193
INS EUR USD 5101013 1.12889 1.12894
INS EUR USD 5101057 1.12871 1.12876
INS EUR USD 5101210 1.12854 1.12859
INS EUR USD 5101219 1.12841 1.12845
INS NZD USD 14220917 0.6421 0.64224
INS NZD USD 14221654 0.64275 0.6429
INS EUR USD 5100619 1.1292 1.12924
INS NZD USD 14220607 0.64181 0.64192
INS NZD USD 14222248 0.64309 0.64323
INS NZD USD 14220626 0.64181 0.64193
INS EUR USD 5100918 1.12929 1.12934
INS NZD USD 14220625 0.64181 0.64193
INS NZD USD 14221653 0.64273 0.64289
INS EUR USD 5100801 1.12981 1.12984
INS EUR USD 5100600 1.12908 1.12913
INS NZD USD 14221009 0.64222 0.64234
INS EUR USD 5100445 1.1291 1.12915
INS EUR USD 5101225 1.12843 1.12846
INS NZD USD 14220810 0.64217 0.64229
INS NZD USD 14222303 0.6432 0.6433
INS NZD USD 14220643 0.64181 0.64191
INS EUR USD 5101231 1.12859 1.12861
INS EUR USD 5101028 1.12877 1.1288
INS EUR USD 5101110 1.12872 1.12875
INS EUR USD 5101136 1.12853 1.12856
INS NZD USD 14221326 0.64251 0.64266
INS NZD USD 14222447 0.64265 0.64278
INS NZD USD 14222730 0.64251 0.64262
INS NZD USD 14222642 0.64267 0.64278
INS EUR USD 5101012 1.12889 1.12893
INS EUR USD 5100625 1.12924 1.12927
INS EUR USD 5100539 1.12903 1.12908
INS NZD USD 14221127 0.6424 0.64253
INS NZD USD 14222616 0.64267 0.6428
INS NZD USD 14222448 0.64261 0.64273
INS NZD USD 14222441 0.6426 0.64272
INS NZD USD 14222031 0.64281 0.64294
INS NZD USD 14221049 0.64249 0.64261
INS NZD USD 14221345 0.64257 0.64271
INS EUR USD 5100628 1.12922 1.12926
INS NZD USD 14221059 0.64251 0.64264
INS NZD USD 14221400 0.64251 0.64265
INS EUR USD 5100407 1.12863 1.12867
INS EUR USD 5100621 1.12919 1.1292
INS EUR USD 5101111 1.12878 1.1288
INS NZD USD 14222612 0.64258 0.64272
INS NZD USD 14221737 0.64278 0.64292
UPD NZD USD 13892527 0.6594091 0.6592552
INS EUR USD 5101205 1.12857 1.1286
INS NZD USD 14222329 0.64292 0.643
INS NZD USD 14222545 0.64262 0.64273
INS NZD USD 14222343 0.64282 0.64292
INS EUR USD 5101138 1.12846 1.12847
INS NZD USD 14220715 0.64195 0.64203
INS NZD USD 14221500 0.64251 0.64264
INS EUR USD 5100707 1.12951 1.12954
INS EUR USD 5101139 1.12854 1.12856
INS NZD USD 14220634 0.64179 0.64191
INS EUR USD 5100614 1.12916 1.12921
INS EUR USD 5100611 1.1291 1.12913
INS NZD USD 14221805 0.64288 0.643
INS NZD USD 14221730 0.64281 0.64293
INS EUR USD 5100356 1.12853 1.12857
INS EUR USD 5100652 1.12951 1.12954
INS EUR USD 5101141 1.12862 1.12864
INS NZD USD 14221325 0.6425 0.64265
INS EUR USD 5100610 1.1291 1.12913
INS NZD USD 14220726 0.64191 0.64203
INS NZD USD 14220835 0.64221 0.64233
INS NZD USD 14222708 0.64257 0.64271
INS NZD USD 14222122 0.64281 0.64295
INS NZD USD 14221546 0.64228 0.64241
INS NZD USD 14221536 0.64217 0.64232
INS NZD USD 14221657 0.64272 0.64288
INS NZD USD 14220941 0.6422 0.64234
INS EUR USD 5100725 1.12972 1.12973
INS NZD USD 14222831 0.64257 0.6427
INS NZD USD 14222552 0.64259 0.6427
INS EUR USD 5101128 1.12872 1.12874
INS EUR USD 5100729 1.1298 1.12981
INS NZD USD 14221007 0.64223 0.64234
INS NZD USD 14221142 0.64242 0.64256
INS NZD USD 14222333 0.64283 0.64297
INS NZD USD 14221809 0.64288 0.643
INS EUR USD 5100354 1.1286 1.12863
INS NZD USD 14222624 0.64259 0.64273
INS NZD USD 14221636 0.64271 0.64284
INS EUR USD 5101243 1.12856 1.1286
INS NZD USD 14220733 0.642 0.64213
INS NZD USD 14222800 0.64255 0.64265
INS NZD USD 14222224 0.64318 0.64332
INS NZD USD 14222435 0.64264 0.64278
INS NZD USD 14221135 0.6424 0.64255
INS EUR USD 5101119 1.12871 1.12876
INS NZD USD 14221202 0.64253 0.64266
INS NZD USD 14221708 0.64281 0.64295
INS EUR USD 5100703 1.1295 1.12953
DEL NZD USD 5393463
INS NZD USD 14221552 0.64231 0.64246
INS EUR USD 5100423 1.12899 1.12901
INS NZD USD 14222314 0.64309 0.64322
INS NZD USD 14220916 0.64212 0.64225
INS NZD USD 14220728 0.642 0.64207
INS NZD USD 14221548 0.6423 0.64243
INS EUR USD 5101202 1.12853 1.12856
INS NZD USD 14222729 0.64252 0.64264
INS EUR USD 5101144 1.12868 1.12869
INS NZD USD 14220808 0.64221 0.64233
INS NZD USD 14221331 0.64251 0.64266
INS NZD USD 14221519 0.64225 0.64238
INS NZD USD 14222832 0.64259 0.64271
INS EUR USD 5101158 1.12856 1.12859
INS EUR USD 5100608 1.12913 1.12917
INS NZD USD 14221534 0.6422 0.64235
INS NZD USD 14222108 0.64286 0.64299
INS NZD USD 14222026 0.64274 0.64287
INS NZD USD 14220739 0.642 0.64212
DEL NZD USD 8599930
INS NZD USD 14222053 0.64281 0.64294
INS EUR USD 5101124 1.12868 1.12871
INS EUR USD 5101217 1.12843 1.12846
INS EUR USD 5101224 1.12836 1.12841
INS NZD USD 14222504 0.64259 0.64272
INS NZD USD 14221803 0.64287 0.64301
INS EUR USD 5100411 1.1287 1.12872
INS NZD USD 14221800 0.64288 0.64294
INS NZD USD 14221006 0.64223 0.64233
INS NZD USD 14222659 0.64259 0.64271
INS NZD USD 14222014 0.64281 0.64296
INS EUR USD 5100359 1.12843 1.12846
INS NZD USD 14222709 0.64254 0.64267
INS NZD USD 14221358 0.64251 0.64265
INS NZD USD 14222005 0.64279 0.64292
INS NZD USD 14221324 0.64251 0.64265
INS NZD USD 14221755 0.64279 0.64293
INS EUR USD 5100932 1.12903 1.12906
INS EUR USD 5100357 1.12847 1.1285
INS EUR USD 5101126 1.12879 1.12883
INS EUR USD 5100815 1.12955 1.1296
INS NZD USD 14221914 0.64269 0.64282
INS EUR USD 5101239 1.12851 1.12854
INS EUR USD 5100545 1.1291 1.12914
INS EUR USD 5101116 1.12879 1.12883
INS NZD USD 14220807 0.64217 0.6423
INS NZD USD 14222259 0.64311 0.64326
INS NZD USD 14220757 0.6421 0.64222
INS NZD USD 14221320 0.64252 0.64265
INS NZD USD 14220624 0.64181 0.64195
INS NZD USD 14222328 0.64292 0.64304
INS EUR USD 5100413 1.1287 1.12873
INS EUR USD 5100433 1.12925 1.12929
INS NZD USD 14222608 0.64252 0.64264
INS NZD USD 14221640 0.64271 0.64285
INS EUR USD 5100543 1.12909 1.12912
INS NZD USD 14221655 0.64271 0.64285
INS EUR USD 5101245 1.12846 1.12851
INS EUR USD 5100803 1.12976 1.12978
INS NZD USD 14221103 0.6425 0.64262
INS EUR USD 5100415 1.12888 1.12891
INS EUR USD 5100612 1.1291 1.12911
INS EUR USD 5100813 1.12973 1.12976
INS NZD USD 14221541 0.6422 0.64234
INS NZD USD 14221005 0.64222 0.64233
INS EUR USD 5100716 1.12966 1.12968
INS NZD USD 14220619 0.6418 0.64192
INS EUR USD 5100511 1.12878 1.1288
INS EUR USD 5100941 1.12897 1.12899
INS NZD USD 14222320 0.64301 0.64311
INS NZD USD 14221237 0.64243 0.64255
INS EUR USD 5100604 1.12912 1.12916
INS EUR USD 5100441 1.12919 1.12924
INS NZD USD 14221701 0.64278 0.64294
UPD EUR USD 4592102 1.152191 1.152130
INS NZD USD 14222157 0.6431 0.64324
INS EUR USD 5101145 1.12866 1.1287
INS EUR USD 5100852 1.12964 1.12967
INS NZD USD 14221025 0.64225 0.64236
INS NZD USD 14221648 0.64271 0.64285
INS NZD USD 14221507 0.6424 0.64251
INS EUR USD 5100453 1.12912 1.12916
INS EUR USD 5100537 1.12903 1.12905
INS NZD USD 14221422 0.64253 0.64267
INS EUR USD 5100635 1.12929 1.1293
INS EUR USD 5100626 1.12925 1.12927
INS EUR USD 5100953 1.12879 1.12881
INS EUR USD 5100622 1.12921 1.12923
INS EUR USD 5100646 1.12957 1.12959
INS EUR USD 5101233 1.1285 1.12853
INS EUR USD 5101159 1.12855 1.1286
INS NZD USD 14221616 0.64248 0.64262
INS NZD USD 14222723 0.6425 0.64264
INS EUR USD 5100759 1.12985 1.12988
UPD NZD USD 14113443 0.6703929 0.6702470
INS NZD USD 14221151 0.64252 0.64266
INS EUR USD 5100639 1.12944 1.12946
INS EUR USD 5100406 1.12862 1.12864
INS NZD USD 14222020 0.64279 0.64289
INS NZD USD 14222118 0.64282 0.64295
INS NZD USD 14222227 0.64316 0.6433
INS NZD USD 14220906 0.64218 0.6423
INS NZD USD 14221644 0.64271 0.64285
INS EUR USD 5100553 1.12905 1.12908
UPD NZD USD 13029141 0.6302813 0.6301733
INS NZD USD 14222037 0.6428 0.64294
INS EUR USD 5101257 1.12849 1.12852
INS EUR USD 5100456 1.12914 1.12918
INS EUR USD 5100734 1.12975 1.12979
INS NZD USD 14221624 0.64254 0.64269
INS NZD USD 14220936 0.6422 0.64232
INS EUR USD 5100910 1.12934 1.12937
INS EUR USD 5100355 1.12856 1.12859
INS NZD USD 14222240 0.64311 0.64321
INS EUR USD 5101102 1.12856 1.1286
INS NZD USD 14220556 0.64179 0.64193
INS NZD USD 14222206 0.64313 0.64326
INS EUR USD 5100416 1.12891 1.12894
INS EUR USD 5100451 1.12913 1.12915
INS NZD USD 14221116 0.64248 0.6426
INS NZD USD 14222638 0.6426 0.64273
INS NZD USD 14222432 0.64267 0.6428
INS EUR USD 5100538 1.12904 1.12907
INS NZD USD 14222211 0.64319 0.6433
INS NZD USD 14221530 0.6422 0.64235
INS EUR USD 5100455 1.12911 1.12915
INS EUR USD 5100810 1.12977 1.12981
INS NZD USD 14221347 0.64256 0.64271
INS EUR USD 5100412 1.1287 1.12873
INS NZD USD 14221745 0.64281 0.64295
INS NZD USD 14222834 0.64259 0.64272
INS NZD USD 14221952 0.64279 0.64291
INS NZD USD 14222359 0.6428 0.64293
INS EUR USD 5101053 1.12873 1.12875
INS NZD USD 14222713 0.6425 0.64262
INS EUR USD 5100650 1.12944 1.12946
INS NZD USD 14222347 0.64287 0.64301
INS EUR USD 5100735 1.12975 1.12979
UPD EUR USD 4762550 1.106356 1.106317
INS EUR USD 5100542 1.12903 1.12905
INS NZD USD 14221448 0.64241 0.64255
INS EUR USD 5100536 1.12909 1.12913
INS EUR USD 5100933 1.129 1.12904
INS NZD USD 14222258 0.64311 0.64325
INS NZD USD 14220942 0.64221 0.64234
INS NZD USD 14221228 0.64252 0.64266
INS EUR USD 5100630 1.1293 1.12933
INS NZD USD 14222153 0.64316 0.64329
INS EUR USD 5100651 1.12946 1.12949
INS EUR USD 5100520 1.12898 1.12903
INS NZD USD 14222324 0.64298 0.64311
INS EUR USD 5100659 1.12959 1.12962
INS EUR USD 5101015 1.12879 1.12883
INS NZD USD 14221535 0.64219 0.64232
INS NZD USD 14221750 0.64278 0.64295
DEL NZD USD 12270140 11309506
INS EUR USD 5100822 1.12943 1.12944
INS NZD USD 14222711 0.64253 0.64265
INS EUR USD 5100642 1.12961 1.12963
INS EUR USD 5100713 1.1296 1.12961
INS NZD USD 14220557 0.6418 0.64192
INS NZD USD 14221045 0.64243 0.64255
INS EUR USD 5100408 1.12865 1.12867
INS EUR USD 5101010 1.12892 1.12895
INS EUR USD 5101150 1.12855 1.12859
INS EUR USD 5100513 1.1288 1.12884
INS NZD USD 14220744 0.64192 0.64204
INS NZD USD 14220750 0.64202 0.64216
INS EUR USD 5100952 1.12883 1.12887
INS NZD USD 14221738 0.64278 0.64291
INS NZD USD 14222517 0.64261 0.64272
INS EUR USD 5101018 1.12875 1.12879
INS EUR USD 5100919 1.12934 1.12939
INS EUR USD 5100904 1.12945 1.12948
INS NZD USD 14221115 0.64244 0.64258
INS NZD USD 14222051 0.64281 0.64296
INS NZD USD 14221124 0.64238 0.64253
INS NZD USD 14222607 0.64252 0.64266
INS NZD USD 14222057 0.64278 0.64292
DEL NZD USD 9249840
INS NZD USD 14222011 0.64283 0.64296
INS EUR USD 5100830 1.12954 1.12958
UPD EUR USD 4889064 1.144559 1.144518
INS NZD USD 14222046 0.64287 0.643
INS EUR USD 5100547 1.12903 1.12904
INS EUR USD 5100658 1.12957 1.12958
INS EUR USD 5100742 1.12979 1.12982
INS EUR USD 5101004 1.12883 1.12886
INS EUR USD 5100942 1.12897 1.12898
INS EUR USD 5100728 1.12977 1.12978
INS NZD USD 14222231 0.64316 0.64327
UPD EUR USD 4815337 1.112750 1.112720
INS EUR USD 5100828 1.12954 1.12958
INS NZD USD 14221921 0.64267 0.64282
INS NZD USD 14221834 0.64288 0.64301
INS NZD USD 14222515 0.6426 0.64273
INS EUR USD 5101147 1.12865 1.12869
INS EUR USD 5100929 1.12905 1.12908
INS NZD USD 14222158 0.64311 0.64324
INS NZD USD 14222116 0.64283 0.64297
INS EUR USD 5100647 1.12954 1.12957
INS NZD USD 14222830 0.64258 0.6427
INS NZD USD 14221246 0.6424 0.64253
INS NZD USD 14221852 0.64288 0.64301
INS EUR USD 5100724 1.12973 1.12974
INS NZD USD 14220703 0.64183 0.64195
INS EUR USD 5101130 1.12869 1.12871
INS EUR USD 5100559 1.12908 1.12911
INS EUR USD 5100740 1.12976 1.12979
